country_name,wiki_title,wiki_url
country1,country1
country2,country2
Afghanistan,Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Albania,Albania,https://en.wikipedia.org/wiki/Albania
Algeria,Algeria,https://en.wikipedia.org/wiki/Algeria
Andorra,Andorra,https://en.wikipedia.org/wiki/Andorra
Angola,Angola,https://en.wikipedia.org/wiki/Angola
Antigua and Barbuda,Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Argentina,Argentina,https://en.wikipedia.org/wiki/Argentina
Armenia,Armenia,https://en.wikipedia.org/wiki/Armenia
Australia,Australia,https://en.wikipedia.org/wiki/Australia
Austria,Austria,https://en.wikipedia.org/wiki/Austria
Azerbaijan,Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Bahamas,Bahamas,https://en.wikipedia.org/wiki/Bahamas
Bahrain,Bahrain,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Barbados,Barbados,https://en.wikipedia.org/wiki/Barbados
Belarus,Belarus,https://en.wikipedia.org/wiki/Belarus
Belgium,Belgium,https://en.wikipedia.org/wiki/Belgium
Belize,Belize,https://en.wikipedia.org/wiki/Belize
Benin,Benin,https://en.wikipedia.org/wiki/Benin
Bhutan,Bhutan,https://en.wikipedia.org/wiki/Bhutan
Bolivia,Bolivia,https://en.wikipedia.org/wiki/Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Botswana,Botswana,https://en.wikipedia.org/wiki/Botswana
Brazil,Brazil,https://en.wikipedia.org/wiki/Brazil
Brunei,Brunei,https://en.wikipedia.org/wiki/Brunei
Bulgaria,Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Burkina Faso,Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Burundi,Burundi,https://en.wikipedia.org/wiki/Burundi
Cabo Verde,Cabo Verde,https://en.wikipedia.org/wiki/Cabo_Verde
Cambodia,Cambodia,https://en.wikipedia.org/wiki/Cambodia
Cameroon,Cameroon,https://en.wikipedia.org/wiki/Cameroon
Canada,Canada,https://en.wikipedia.org/wiki/Canada
Central African Republic,Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic
Chad,Chad,https://en.wikipedia.org/wiki/Chad
Chile,Chile,https://en.wikipedia.org/wiki/Chile
China,China,https://en.wikipedia.org/wiki/China
Colombia,Colombia,https://en.wikipedia.org/wiki/Colombia
Comoros,Comoros,https://en.wikipedia.org/wiki/Comoros
Congo,Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Costa Rica,Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Côte d’Ivoire,Côte d’Ivoire,https://en.wikipedia.org/wiki/Cote_dIvoire
Croatia,Croatia,https://en.wikipedia.org/wiki/Croatia
Cuba,Cuba,https://en.wikipedia.org/wiki/Cuba
Cyprus,Cyprus,https://en.wikipedia.org/wiki/Cyprus
Czech Republic,Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Democratic Republic of the Congo,Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Denmark,Denmark,https://en.wikipedia.org/wiki/Denmark
Djibouti,Djibouti,https://en.wikipedia.org/wiki/Djibouti
Dominica,Dominica,https://en.wikipedia.org/wiki/Dominica
Dominican Republic,Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Ecuador,Ecuador,https://en.wikipedia.org/wiki/Ecuador
Egypt,Egypt,https://en.wikipedia.org/wiki/Egypt
El Salvador,El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Equatorial Guinea,Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Eritrea,Eritrea,https://en.wikipedia.org/wiki/Eritrea
Estonia,Estonia,https://en.wikipedia.org/wiki/Estonia
Eswatini,Eswatini,https://en.wikipedia.org/wiki/Eswatini
Ethiopia,Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Fiji,Fiji,https://en.wikipedia.org/wiki/Fiji
Finland,Finland,https://en.wikipedia.org/wiki/Finland
France,France,https://en.wikipedia.org/wiki/France
Gabon,Gabon,https://en.wikipedia.org/wiki/Gabon
Gambia,Gambia,https://en.wikipedia.org/wiki/Gambia
Georgia,Georgia (country),https://en.wikipedia.org/wiki/Georgia_(country)
Germany,Germany,https://en.wikipedia.org/wiki/Germany
Ghana,Ghana,https://en.wikipedia.org/wiki/Ghana
Greece,Greece,https://en.wikipedia.org/wiki/Greece
Grenada,Grenada,https://en.wikipedia.org/wiki/Grenada
Guatemala,Guatemala,https://en.wikipedia.org/wiki/Guatemala
Guinea,Guinea,https://en.wikipedia.org/wiki/Guinea
Guinea-Bissau,Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Guyana,Guyana,https://en.wikipedia.org/wiki/Guyana
Haiti,Haiti,https://en.wikipedia.org/wiki/Haiti
Honduras,Honduras,https://en.wikipedia.org/wiki/Honduras
Hungary,Hungary,https://en.wikipedia.org/wiki/Hungary
Iceland,Iceland,https://en.wikipedia.org/wiki/Iceland
India,India,https://en.wikipedia.org/wiki/India
Indonesia,Indonesia,https://en.wikipedia.org/wiki/Indonesia
Iran,Iran,https://en.wikipedia.org/wiki/Iran
Iraq,Iraq,https://en.wikipedia.org/wiki/Iraq
Ireland,Ireland,https://en.wikipedia.org/wiki/Ireland
Israel,Israel,https://en.wikipedia.org/wiki/Israel
Italy,Italy,https://en.wikipedia.org/wiki/Italy
Jamaica,Jamaica,https://en.wikipedia.org/wiki/Jamaica
Japan,Japan,https://en.wikipedia.org/wiki/Japan
Jordan,Jordan,https://en.wikipedia.org/wiki/Jordan
Kazakhstan,Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kenya,Kenya,https://en.wikipedia.org/wiki/Kenya
Kiribati,Kiribati,https://en.wikipedia.org/wiki/Kiribati
Kuwait,Kuwait,https://en.wikipedia.org/wiki/Kuwait
Kyrgyzstan,Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Laos,Laos,https://en.wikipedia.org/wiki/Laos
Latvia,Latvia,https://en.wikipedia.org/wiki/Latvia
Lebanon,Lebanon,https://en.wikipedia.org/wiki/Lebanon
Lesotho,Lesotho,https://en.wikipedia.org/wiki/Lesotho
Liberia,Liberia,https://en.wikipedia.org/wiki/Liberia
Libya,Libya,https://en.wikipedia.org/wiki/Libya
Liechtenstein,Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Lithuania,Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Madagascar,Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malawi,Malawi,https://en.wikipedia.org/wiki/Malawi
Malaysia,Malaysia,https://en.wikipedia.org/wiki/Malaysia
Maldives,Maldives,https://en.wikipedia.org/wiki/Maldives
Mali,Mali,https://en.wikipedia.org/wiki/Mali
Malta,Malta,https://en.wikipedia.org/wiki/Malta
Marshall Islands,Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Mauritania,Mauritania,https://en.wikipedia.org/wiki/Mauritania
Mauritius,Mauritius,https://en.wikipedia.org/wiki/Mauritius
Mexico,Mexico,https://en.wikipedia.org/wiki/Mexico
Micronesia,Micronesia,https://en.wikipedia.org/wiki/Micronesia
Moldova,Moldova,https://en.wikipedia.org/wiki/Moldova
Monaco,Monaco,https://en.wikipedia.org/wiki/Monaco
Mongolia,Mongolia,https://en.wikipedia.org/wiki/Mongolia
Montenegro,Montenegro,https://en.wikipedia.org/wiki/Montenegro
Morocco,Morocco,https://en.wikipedia.org/wiki/Morocco
Mozambique,Mozambique,https://en.wikipedia.org/wiki/Mozambique
Myanmar,Myanmar,https://en.wikipedia.org/wiki/Myanmar
Namibia,Namibia,https://en.wikipedia.org/wiki/Namibia
Nauru,Nauru,https://en.wikipedia.org/wiki/Nauru
Nepal,Nepal,https://en.wikipedia.org/wiki/Nepal
Netherlands,Netherlands,https://en.wikipedia.org/wiki/Netherlands
New Zealand,New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Nicaragua,Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Niger,Niger,https://en.wikipedia.org/wiki/Niger
Nigeria,Nigeria,https://en.wikipedia.org/wiki/Nigeria
North Korea,North Korea,https://en.wikipedia.org/wiki/North_Korea
